"id_k","id_tenant","nama","status"
12,474,Sixteen8 Restaurant,1
16,475,Hotel Ciputra Semarang,1
12,476,Toko Oen,1
16,477,MG SETOS HOTEL SEMARANG,1
12,478,Posin Bakery & cafe,1
14,479,Vsix karaoke,1
16,480,Hotel Grasia Semarang,1
14,481,Grand Masterpiece Karaoke,1
14,482,Oriental Spa & Massage 2,1
16,483,Grand Edge Hotel Semarang,1
31,484,Bandeng Juwana Group,1
14,485,RELIQUE EXECUTIVE SPA SEMARANG ,1
13,486,Pasar Swalayan ADA Setiabudi,1
19,487,Apotek sarika,1
16,488,Hotel Aruss Semarang,1
13,489,Pasar Swalayan ADA Siliwangi,1
17,490,Fitnation Gym,1
12,491,My Kopi-O! Indo Bistro,1
31,492,Pasar Swalayan ADA Majapahit,1
13,493,Pasar Swalayan ADA Fatmawati,1
28,494,Sumber Baru Ban,1
16,495,POP!Hotel Pemuda Semarang,1
16,496,ROOMS INC HOTEL,1
12,497,Excelso Rinjani,1
12,498,Rodjo Restaurant ,1
13,499,GAYA SWALAYAN KEDUNGMUNDU,1
16,500,UNDIP INN SEMARANG,1
28,501,Prima Tunggal Mandiri,1
31,502,aneka jaya ngaliyan,1
12,503,Tylers,1
13,504,GAYA SWALAYAN TLOGOSARI,1
12,505,The Tavern,1
12,506,Bowery,1
12,507,Eastman Coffe House,1
16,508,Hotel Tentrem Semarang,1
16,509,Awann Sewu Boutique Hotel & Suite,1
20,510,Global Elektronik Semarang,1
,511,Allstay Hotel Semarang,1
16,512,Grand Arkenso Parkview Hotel,1
,513,wishbone bar,1
12,514,Pesta Keboen Restoran,1
16,515,Novotel & ibis Budget Semarang,1
20,516,Modern Elektronik Semarang,1
31,517,SWALAYAN ANEKA JAYA KALIPANCUR,1
12,518,Portobello Cafe,1
13,519,Super Indo Siliwangi,1
31,520,Super Indo Kranggan,1
31,521,Super Indo Candi,1
31,522,Super Indo Soekarno Hatta,1
0,523,Openaire Resto,1
31,524,Super Indo Sriwijaya,1
31,525,Super Indo Woltermonginsidi,1
31,526,Super Indo Sukun Raya,1
31,527,Super Indo Karangrejo,1
12,528,Istana Mie & Es mall ciputra,1
16,529,Hotel Horison Nindya Semarang,1
31,530,SUPER INDO IMAM BONJOL,1
12,531,Istana Mie & Es Transmaja,1
12,532,Istana Mie & Es Paragon,1
16,533,Pandanaran Hotel Simpang Lima Semarang,1
12,534,Istana Mie & Es Java Mall,1
12,535,Istana Mie & Es Ada Bulu,1
12,536,Restoran Nglaras rasa ,1
12,537,Istana Mie & Es DP Mall,1
12,538,Istana Mie & Es Ada Bymnk,1
12,539,Dolkopi Pringgading,1
12,540,Istana Mie & Es Depok SMG,1
12,541,Istana Mie & Es Ada Mjpht,1
12,542,Istana Mie & Es Central City Mall,1
12,543,Istana Mie & Es Matahari,1
,544,ARTOTEL GAJAHMADA SEMARANG,1
31,545,Super Indo Majapahit,1
16,546,HOTEL DALU MAJAPAHIT,1
16,547,Hotel Muria Semarang ,1
,548,Elysium Semarang,1
16,549,Smart Budget Hotel,1
16,550,Patra Semarang Hotel & Convention ,1
31,551,Super Indo Simongan ,1
31,552,Super Indo Tlogosari,1
16,553,Hotel @Hom Semarang,1
16,554,Hotel Haka Semarang ,1
16,555,Hotel Santika Premiere Semarang,1
31,556,Super Indo Wahidin,1
16,557,Surya Boutique Hotel Kota Lama Semarang,1
31,558,Super Indo Ngesrep ,1
13,559,Superindo Gajahmungkur,1
,560,Pusat Oleh Oleh Djoe Pandanaran,1
31,561,Super Indo Kedungmundu,1
31,562,indomaret,1
38,563,Dream Massage ,1
31,564,GOORi Swalayan,1
14,565,Hidden Club,1
14,566,Happy Spa,1
16,567,CITY ONE XPRESS ,1
16,568,Gumaya Tower Hotel,1
16,569,Hotel Citradream Semarang,1
20,570,SEROJA ELEKTRONIK ,1
16,571,Quest Hotel SImpang Lima Semarang,1
16,572,Hotel Grandhika Pemuda Semarang,1
19,573,Optik Pandanaran,1
16,574,Hotel Chanti,1
12,575,ON ON PUB,1
16,576,Grand Candi Hotel Semarang,1
,577,Alfamart,1
16,578,Horison inn Alaska Simpang Lima Semarang,1
16,579,Holiday Inn Express Semarang ,1
31,580,Superindo Ngaliyan ,1
31,581,Superindo istana majapahit,1
12,582,Seoul palace restaurant,1
25,583,PT. Bukit Semarang Jayametro,1
29,584,Pands Muslim Dept. Store,1
,585,Agusta,1
14,586,Babyface Karaoke Semarang,1
,587,TWOSTAR KTV Lounge & Bar,1
31,588,Mal Ciputra Semarang,1
14,589,POLLUX MALL PARAGON SEMARANG ,1
13,590,JAVA SUPERMALL,1
31,591,TENTREM MALL,1
13,592,PLASA SIMPANGLIMA ,1
13,593,DP Mall Semarang,1
12,594,Restoran Selasih,1
,595,Station Luxury Spa ,1
14,596,ORBIT Club & KTV,1
16,597,Hotel Aston Inn Pandanaran Semarang,1
12,598,Eastman cafe ,1
,599,Onz ktv,1
12,600,Dolkopi Kotalama,1
16,601,Favehotel Diponegoro Semarang,1
12,602,Bolu Kukus Tugu Jogja - Pandanaran,1
42,603,Bandeng Bonafide,1
31,604,PT PANTES PUTRA JAYA - PANTES GALLERY,1
,605,Masterpiece Signature Family Karaoke,1
14,606,W Massage,1
14,607,HAVEN SPA & MASSAGE ,1
16,608,Hotel NEO Candi Simpang Lima Semarang,1
16,609,Radja Art & Boutique Hotel ,1
,610,mahana lilin ,1
,611,Orenjipu ,1
